city,鄉鎮市區,房型,season,price_pp,rent_pp,prr,skey
台北市,中正區,華廈,113S3,107.4,1392.0,64.3,1133
台北市,中正區,華廈,113S4,80.8,1663.0,40.5,1134
台北市,中正區,華廈,114S1,93.1,1164.0,66.7,1141
台北市,中正區,華廈,114S2,95.8,1322.0,60.4,1142
台北市,中正區,華廈,114S3,90.5,1537.0,49.1,1143
台北市,中正區,華廈,114S4,87.7,1441.0,50.7,1144
台北市,中正區,華廈,115S1,104.2,1117.0,77.7,1151
台北市,信義區,公寓,111S1,61.8,,,1111
台北市,信義區,公寓,111S2,67.9,,,1112
台北市,信義區,公寓,111S3,66.1,,,1113
台北市,信義區,公寓,111S4,65.7,,,1114
台北市,信義區,公寓,112S1,66.6,,,1121
台北市,信義區,公寓,112S2,68.8,,,1122
台北市,信義區,公寓,112S3,70.3,,,1123
台北市,信義區,公寓,112S4,69.6,1036.0,56.0,1124
台北市,信義區,公寓,113S1,68.6,1015.0,56.3,1131
台北市,信義區,公寓,113S2,69.4,1005.0,57.5,1132
台北市,信義區,公寓,113S3,72.6,1025.0,59.0,1133
台北市,信義區,公寓,113S4,73.8,1021.0,60.2,1134
台北市,信義區,公寓,114S1,73.3,1031.0,59.2,1141
台北市,信義區,公寓,114S2,69.9,1036.0,56.2,1142
台北市,信義區,公寓,114S3,72.7,1031.0,58.8,1143
台北市,信義區,公寓,114S4,73.6,1046.0,58.6,1144
台北市,信義區,公寓,115S1,73.1,1045.0,58.3,1151
台北市,信義區,大樓,111S1,94.4,,,1111
台北市,信義區,大樓,111S2,102.3,,,1112
台北市,信義區,大樓,111S3,90.3,,,1113
台北市,信義區,大樓,111S4,86.7,,,1114
台北市,信義區,大樓,112S1,93.4,,,1121
台北市,信義區,大樓,112S2,85.9,,,1122
台北市,信義區,大樓,112S3,88.4,,,1123
台北市,信義區,大樓,112S4,94.9,1856.0,42.6,1124
台北市,信義區,大樓,113S1,91.8,2155.0,35.5,1131
台北市,信義區,大樓,113S2,99.9,1921.0,43.3,1132
台北市,信義區,大樓,113S3,105.8,2109.0,41.8,1133
台北市,信義區,大樓,113S4,115.8,2826.0,34.1,1134
台北市,信義區,大樓,114S1,108.3,2542.0,35.5,1141
台北市,信義區,大樓,114S2,96.5,2610.0,30.8,1142
台北市,信義區,大樓,114S3,98.0,2529.0,32.3,1143
台北市,信義區,大樓,114S4,108.4,2749.0,32.9,1144
台北市,信義區,大樓,115S1,112.7,2669.0,35.2,1151
台北市,信義區,華廈,111S1,82.4,,,1111
台北市,信義區,華廈,111S2,80.1,,,1112
台北市,信義區,華廈,111S3,91.2,,,1113
台北市,信義區,華廈,111S4,85.3,,,1114
台北市,信義區,華廈,112S1,83.3,,,1121
台北市,信義區,華廈,112S2,82.4,,,1122
台北市,信義區,華廈,112S3,80.0,,,1123
台北市,信義區,華廈,112S4,81.3,1104.0,61.4,1124
台北市,信義區,華廈,113S1,85.6,1362.0,52.4,1131
