city,鄉鎮市區,房型,現價(萬/坪),近一年漲跌%,近半年漲跌%,目前PRR,自身PRR中位,同房型跨區PRR中位
新北市,樹林區,大樓,46.1,10.7,2.8,63.2,60.6,57.6
新北市,樹林區,華廈,36.7,2.6,-5.7,72.8,53.3,55.4
新北市,樹林區,透天,37.4,-11.8,16.0,50.9,48.9,48.9
新北市,永和區,公寓,50.3,-3.7,-2.6,47.7,49.1,46.0
新北市,永和區,大樓,64.5,-5.9,-6.6,57.7,60.6,57.6
新北市,永和區,華廈,58.9,-4.6,-13.8,59.1,63.0,55.4
新北市,汐止區,公寓,30.5,-7.8,-4.3,37.7,41.2,46.0
新北市,汐止區,大樓,42.6,3.6,4.7,48.0,48.3,57.6
新北市,汐止區,華廈,45.4,0.1,-2.3,50.6,52.9,55.4
新北市,汐止區,透天,28.5,-16.3,-5.5,32.1,40.1,48.9
新北市,泰山區,公寓,33.2,-7.8,-1.3,44.3,40.3,46.0
新北市,泰山區,大樓,53.2,-2.0,-4.2,67.7,61.4,57.6
新北市,泰山區,華廈,43.9,-8.9,1.5,55.6,58.8,55.4
新北市,淡水區,公寓,20.7,-1.2,0.7,31.7,34.0,46.0
新北市,淡水區,大樓,35.1,7.1,2.7,54.6,49.2,57.6
新北市,淡水區,華廈,30.9,-5.9,-7.5,54.3,48.3,55.4
新北市,淡水區,透天,31.4,3.8,10.8,35.4,39.1,48.9
新北市,深坑區,大樓,37.2,6.2,7.9,48.1,49.4,57.6
新北市,深坑區,華廈,37.9,9.7,-0.8,59.7,49.2,55.4
新北市,瑞芳區,公寓,9.7,-12.3,-11.6,20.1,25.5,46.0
新北市,萬里區,公寓,6.6,19.7,15.9,14.9,8.4,46.0
新北市,萬里區,大樓,16.4,-35.4,5.5,20.9,25.1,57.6
新北市,蘆洲區,公寓,40.3,-3.5,-3.3,46.9,47.0,46.0
新北市,蘆洲區,大樓,61.5,9.6,12.3,61.0,62.1,57.6
新北市,蘆洲區,華廈,57.5,10.5,2.7,69.0,61.2,55.4
新北市,金山區,華廈,24.5,50.5,14.9,31.2,27.5,55.4
新北市,鶯歌區,公寓,22.5,-5.9,1.6,37.1,36.4,46.0
新北市,鶯歌區,大樓,34.3,11.0,13.9,50.6,47.9,57.6
新北市,鶯歌區,華廈,32.4,12.2,12.8,60.7,59.8,55.4
新北市,鶯歌區,透天,33.4,-0.3,14.4,37.6,40.7,48.9
