city,鄉鎮市區,房型,買賣中位(萬/坪),月租中位(元/坪),PRR(年),租金收益率%,n_sale,n_rent
新北市,新店區,公寓,38.9,744.0,43.5,2.3,2810,1385
新北市,土城區,公寓,36.8,711.0,43.2,2.32,1672,926
新北市,深坑區,公寓,26.3,509.0,43.0,2.33,148,49
新北市,三重區,大樓,54.0,1048.0,43.0,2.33,11754,1113
新北市,新店區,華廈,37.0,729.0,42.3,2.37,1699,256
台北市,萬華區,公寓,47.4,936.0,42.2,2.37,1018,1139
新北市,新莊區,公寓,35.9,721.0,41.5,2.41,3227,2014
新北市,三重區,公寓,42.0,846.0,41.4,2.42,3742,2744
台北市,中山區,大樓,88.7,1800.0,41.1,2.44,3973,980
新北市,汐止區,透天,28.6,582.0,41.0,2.44,376,23
新北市,樹林區,公寓,29.0,592.0,40.9,2.45,1028,687
台北市,中山區,華廈,76.1,1567.0,40.5,2.47,2047,430
台北市,文山區,透天,52.1,1099.0,39.5,2.53,94,16
新北市,三峽區,公寓,24.4,516.0,39.4,2.54,266,220
新北市,汐止區,公寓,29.7,635.0,39.0,2.57,1636,663
新北市,三峽區,透天,27.6,598.0,38.5,2.6,208,26
新北市,五股區,公寓,25.7,559.0,38.3,2.61,401,530
新北市,淡水區,透天,27.1,598.0,37.7,2.65,329,37
新北市,泰山區,公寓,28.5,631.0,37.6,2.66,530,467
台北市,大同區,大樓,80.7,1901.0,35.4,2.83,1749,495
新北市,鶯歌區,公寓,20.7,509.0,33.8,2.96,351,332
台北市,信義區,大樓,97.2,2400.0,33.7,2.96,1686,467
新北市,三芝區,大樓,12.8,331.0,32.4,3.09,510,104
新北市,八里區,公寓,19.2,496.0,32.3,3.09,85,47
新北市,淡水區,公寓,20.0,519.0,32.1,3.12,1576,714
新北市,林口區,公寓,24.0,625.0,32.0,3.13,248,69
新北市,三芝區,華廈,13.0,360.0,30.1,3.32,372,185
新北市,金山區,公寓,12.0,383.0,26.1,3.84,87,47
新北市,三芝區,公寓,10.0,340.0,24.6,4.07,148,71
新北市,瑞芳區,公寓,10.3,380.0,22.6,4.43,394,121
新北市,萬里區,公寓,6.4,347.0,15.5,6.47,368,56
